,Opportunity Number,Supplies Subgroup,Supplies Group,Region,Route To Market,Elapsed Days In Sales Stage,Opportunity Result,Sales Stage Change Count,Total Days Identified Through Closing,Total Days Identified Through Qualified,Opportunity Amount USD,Client Size By Revenue,Client Size By Employee Count,Revenue From Client Past Two Years,Competitor Type,Ratio Days Identified To Total Days,Ratio Days Validated To Total Days,Ratio Days Qualified To Total Days,Deal Size Category,Route_enco,Oppt_enco,Cmpt_enco
56437,7117279,Batteries & Accessories,Car Accessories,Mid-Atlantic,Fields Sales,70,Loss,4,10,10,30000,1,1,0,Unknown,0.607843,0.264706,0.127451,3,0,0,2
56464,7120148,Batteries & Accessories,Car Accessories,Mid-Atlantic,Reseller,45,Loss,4,32,32,25000,2,3,0,Unknown,0.0,1.0,0.0,3,2,0,2
56469,7120396,Batteries & Accessories,Car Accessories,Mid-Atlantic,Fields Sales,77,Loss,3,3,3,200000,5,5,0,Unknown,0.8709680000000001,0.12903199999999998,0.0,5,0,0,2
56470,7120457,Batteries & Accessories,Car Accessories,Mid-Atlantic,Fields Sales,44,Loss,8,35,35,105000,5,5,0,Unknown,0.107955,0.8920450000000001,0.0,5,0,0,2
56471,7120464,Batteries & Accessories,Car Accessories,Mid-Atlantic,Fields Sales,77,Loss,3,3,3,400000,5,5,0,Known,0.8709680000000001,0.12903199999999998,0.0,6,0,0,0
56518,7125959,Batteries & Accessories,Car Accessories,Mid-Atlantic,Reseller,9,Loss,10,56,56,50000,2,2,0,Unknown,0.423488,0.300712,0.275801,4,2,0,2
56532,7126496,Batteries & Accessories,Car Accessories,Mid-Atlantic,Fields Sales,74,Loss,2,6,6,50000,1,1,0,Unknown,0.0,1.0,0.0,4,0,0,2
56580,7129883,Batteries & Accessories,Car Accessories,Mid-Atlantic,Fields Sales,54,Loss,3,26,26,120000,3,2,0,Known,0.63035,0.36965,0.0,5,0,0,0
56590,7130059,Batteries & Accessories,Car Accessories,Mid-Atlantic,Fields Sales,74,Loss,3,4,4,10000,3,1,0,Known,0.0,1.0,0.0,2,0,0,0
56623,7133010,Batteries & Accessories,Car Accessories,Mid-Atlantic,Other,16,Loss,2,63,63,50000,3,2,0,Unknown,1.0,0.0,0.0,4,1,0,2
56645,7135762,Batteries & Accessories,Car Accessories,Mid-Atlantic,Fields Sales,19,Loss,4,60,60,80000,1,5,0,Unknown,0.003361,0.262185,0.734454,4,0,0,2
56650,7136087,Batteries & Accessories,Car Accessories,Mid-Atlantic,Fields Sales,44,Loss,2,35,35,15000,2,2,0,Known,0.0,1.0,0.0,2,0,0,0
56675,7139217,Batteries & Accessories,Car Accessories,Mid-Atlantic,Reseller,79,Won,1,0,0,26400,1,1,0,Unknown,0.0,0.0,0.0,3,2,1,2
56680,7139361,Batteries & Accessories,Car Accessories,Mid-Atlantic,Fields Sales,63,Loss,2,16,16,110000,3,2,0,Unknown,0.0,1.0,0.0,5,0,0,2
56702,7139956,Batteries & Accessories,Car Accessories,Mid-Atlantic,Fields Sales,26,Loss,2,53,53,105000,3,2,0,Unknown,0.0,1.0,0.0,5,0,0,2
56706,7143078,Batteries & Accessories,Car Accessories,Mid-Atlantic,Reseller,63,Loss,2,16,16,200000,3,1,0,Unknown,0.0,1.0,0.0,5,2,0,2
56713,7143158,Batteries & Accessories,Car Accessories,Mid-Atlantic,Reseller,62,Loss,2,17,17,54780,5,3,0,Unknown,0.0,1.0,0.0,4,2,0,2
56747,7144460,Batteries & Accessories,Car Accessories,Mid-Atlantic,Fields Sales,73,Loss,4,6,6,40000,1,5,0,Unknown,0.0,0.8245610000000001,0.157895,3,0,0,2
56748,7144481,Batteries & Accessories,Car Accessories,Mid-Atlantic,Fields Sales,78,Loss,2,1,1,10000,4,5,0,Known,0.0,0.0,1.0,2,0,0,0
56779,7147769,Batteries & Accessories,Car Accessories,Mid-Atlantic,Fields Sales,63,Loss,3,15,15,100000,4,5,0,Unknown,0.0,1.0,0.0,5,0,0,2
56832,7151605,Batteries & Accessories,Car Accessories,Mid-Atlantic,Fields Sales,75,Loss,4,4,4,31000,3,4,0,None,0.552632,0.131579,0.315789,3,0,0,1
56835,7151764,Batteries & Accessories,Car Accessories,Mid-Atlantic,Fields Sales,71,Loss,2,7,7,10000,5,4,0,Unknown,0.0,1.0,0.0,2,0,0,2
56859,7153923,Batteries & Accessories,Car Accessories,Mid-Atlantic,Reseller,65,Loss,3,5,5,60000,3,1,0,Known,0.0,1.0,0.0,4,2,0,0
56861,7154006,Batteries & Accessories,Car Accessories,Mid-Atlantic,Fields Sales,74,Loss,3,4,4,30000,1,1,0,Unknown,0.906977,0.093023,0.0,3,0,0,2
56862,7154027,Batteries & Accessories,Car Accessories,Mid-Atlantic,Fields Sales,78,Loss,2,0,0,30000,1,1,0,Unknown,1.0,0.0,0.0,3,0,0,2
56877,7154537,Batteries & Accessories,Car Accessories,Mid-Atlantic,Fields Sales,75,Won,2,0,0,1000,2,1,0,Unknown,0.0,0.0,0.0,1,0,1,2
56889,7157228,Batteries & Accessories,Car Accessories,Mid-Atlantic,Reseller,51,Loss,3,27,27,50000,3,1,0,Unknown,0.0,0.003731,0.996269,4,2,0,2
56904,7157708,Batteries & Accessories,Car Accessories,Mid-Atlantic,Reseller,65,Loss,2,13,13,35000,3,4,0,Unknown,0.0,1.0,0.0,3,2,0,2
56930,7161502,Batteries & Accessories,Car Accessories,Mid-Atlantic,Reseller,77,Loss,2,1,1,20000,1,1,0,Unknown,0.0,1.0,0.0,2,2,0,2
56931,7161510,Batteries & Accessories,Car Accessories,Mid-Atlantic,Reseller,77,Loss,2,1,1,30000,1,1,0,Unknown,0.0,1.0,0.0,3,2,0,2
56932,7161518,Batteries & Accessories,Car Accessories,Mid-Atlantic,Reseller,76,Loss,2,2,2,30000,1,4,0,Unknown,0.0,1.0,0.0,3,2,0,2
56969,7166042,Batteries & Accessories,Car Accessories,Mid-Atlantic,Reseller,77,Loss,2,1,1,40000,1,1,0,Unknown,0.0,1.0,0.0,3,2,0,2
56972,7166100,Batteries & Accessories,Car Accessories,Mid-Atlantic,Reseller,78,Won,1,0,0,13958,3,1,0,Unknown,0.0,0.0,0.0,2,2,1,2
57006,7169195,Batteries & Accessories,Car Accessories,Mid-Atlantic,Reseller,65,Loss,2,13,13,20000,1,1,0,Unknown,0.0,1.0,0.0,2,2,0,2
57010,7169290,Batteries & Accessories,Car Accessories,Mid-Atlantic,Reseller,78,Won,1,0,0,21192,3,1,0,Unknown,0.0,0.0,0.0,2,2,1,2
57012,7169298,Batteries & Accessories,Car Accessories,Mid-Atlantic,Reseller,78,Won,1,0,0,4188,3,2,0,Unknown,0.0,0.0,0.0,1,2,1,2
57015,7169359,Batteries & Accessories,Car Accessories,Mid-Atlantic,Reseller,66,Won,4,3,0,4554,1,2,0,Unknown,0.0,0.090909,0.0,1,2,1,2
57024,7169402,Batteries & Accessories,Car Accessories,Mid-Atlantic,Reseller,78,Won,1,0,0,7504,1,1,0,Unknown,0.0,0.0,0.0,1,2,1,2
57027,7169409,Batteries & Accessories,Car Accessories,Mid-Atlantic,Reseller,78,Won,1,0,0,5106,5,3,2,Unknown,0.0,0.0,0.0,1,2,1,2
57083,7173324,Batteries & Accessories,Car Accessories,Mid-Atlantic,Fields Sales,7,Won,6,63,60,0,2,2,3,Known,0.0,0.664537,0.289137,1,0,1,0
57099,7175901,Batteries & Accessories,Car Accessories,Mid-Atlantic,Reseller,63,Loss,3,15,15,25000,2,3,0,Unknown,0.0,0.006848999999999999,0.993151,3,2,0,2
57113,7176529,Batteries & Accessories,Car Accessories,Mid-Atlantic,Fields Sales,73,Won,4,4,3,262000,1,5,0,Known,0.0,0.0,0.690476,6,0,1,0
57124,7176762,Batteries & Accessories,Car Accessories,Mid-Atlantic,Fields Sales,57,Loss,2,20,20,105000,1,5,0,Unknown,1.0,0.0,0.0,5,0,0,2
57174,7181484,Batteries & Accessories,Car Accessories,Mid-Atlantic,Fields Sales,72,Loss,2,5,5,118000,1,1,1,Known,0.0,1.0,0.0,5,0,0,0
57185,7184394,Batteries & Accessories,Car Accessories,Mid-Atlantic,Reseller,44,Loss,5,34,33,130000,3,4,0,Unknown,0.062687,0.892537,0.041791,5,2,0,2
57207,7184968,Batteries & Accessories,Car Accessories,Mid-Atlantic,Reseller,75,Won,2,2,2,35000,1,1,0,Unknown,0.0,1.0,0.0,3,2,1,2
57209,7184974,Batteries & Accessories,Car Accessories,Mid-Atlantic,Reseller,19,Loss,2,59,59,40000,1,5,0,Unknown,0.0,1.0,0.0,3,2,0,2
57236,7187834,Batteries & Accessories,Car Accessories,Mid-Atlantic,Reseller,57,Loss,2,20,20,50000,2,1,0,Unknown,0.0,1.0,0.0,4,2,0,2
57260,7188188,Batteries & Accessories,Car Accessories,Mid-Atlantic,Reseller,44,Loss,3,33,33,90000,1,1,0,Unknown,0.4970060000000001,0.5029939999999999,0.0,4,2,0,2
57279,7188812,Batteries & Accessories,Car Accessories,Mid-Atlantic,Reseller,65,Loss,9,4,4,75000,1,1,0,Known,0.0,0.13513499999999998,0.837838,4,2,0,0
57292,7191058,Batteries & Accessories,Car Accessories,Mid-Atlantic,Reseller,52,Loss,3,25,25,90000,1,1,0,Unknown,0.0,0.004032,0.995968,4,2,0,2
57387,7198583,Batteries & Accessories,Car Accessories,Mid-Atlantic,Fields Sales,74,Loss,2,3,3,9500,1,1,0,Unknown,0.0,0.0,1.0,1,0,0,2
57422,7201881,Batteries & Accessories,Car Accessories,Mid-Atlantic,Reseller,57,Loss,3,19,14,52000,1,1,0,Unknown,0.0,0.742105,0.0,4,2,0,2
57455,7202474,Batteries & Accessories,Car Accessories,Mid-Atlantic,Reseller,66,Won,6,2,1,15000,1,1,1,Unknown,0.0,0.0,0.583333,2,2,1,2
57481,7204926,Batteries & Accessories,Car Accessories,Mid-Atlantic,Reseller,57,Loss,2,19,19,52000,1,1,0,Unknown,0.0,1.0,0.0,4,2,0,2
57493,7205277,Batteries & Accessories,Car Accessories,Mid-Atlantic,Fields Sales,74,Loss,2,2,2,600000,1,5,0,Unknown,0.0,1.0,0.0,7,0,0,2
57516,7208236,Batteries & Accessories,Car Accessories,Mid-Atlantic,Reseller,53,Loss,3,23,23,90000,1,1,0,Unknown,0.687225,0.312775,0.0,4,2,0,2
57519,7208259,Batteries & Accessories,Car Accessories,Mid-Atlantic,Reseller,53,Loss,3,23,23,90000,1,1,0,Unknown,0.687225,0.312775,0.0,4,2,0,2
57555,7209295,Batteries & Accessories,Car Accessories,Mid-Atlantic,Fields Sales,60,Loss,6,16,16,150000,1,5,0,Known,0.15625,0.325,0.51875,5,0,0,0
57591,7212495,Batteries & Accessories,Car Accessories,Mid-Atlantic,Reseller,49,Loss,3,27,27,10000,3,2,0,Unknown,0.089219,0.910781,0.0,2,2,0,2
57645,7216632,Batteries & Accessories,Car Accessories,Mid-Atlantic,Fields Sales,53,Loss,4,22,22,200000,1,1,4,Unknown,0.0,0.581395,0.418605,5,0,0,2
57695,7220426,Batteries & Accessories,Car Accessories,Mid-Atlantic,Fields Sales,44,Loss,7,32,32,100000,1,3,0,Unknown,0.0,0.7899689999999999,0.210031,5,0,0,2
57701,7220627,Batteries & Accessories,Car Accessories,Mid-Atlantic,Fields Sales,75,Loss,2,1,1,150000,1,1,0,Known,0.0,0.0,1.0,5,0,0,0
57731,7223452,Batteries & Accessories,Car Accessories,Mid-Atlantic,Reseller,54,Loss,3,22,22,10000,5,4,0,Unknown,0.4727270000000001,0.527273,0.0,2,2,0,2
57739,7223803,Batteries & Accessories,Car Accessories,Mid-Atlantic,Fields Sales,70,Loss,2,6,6,110000,3,2,0,Unknown,1.0,0.0,0.0,5,0,0,2
57740,7223831,Batteries & Accessories,Car Accessories,Mid-Atlantic,Fields Sales,62,Loss,2,14,14,110000,4,4,0,Unknown,0.0,1.0,0.0,5,0,0,2
57849,7231759,Batteries & Accessories,Car Accessories,Mid-Atlantic,Fields Sales,73,Won,4,2,2,15000,1,1,0,Known,0.0,0.65,0.15,2,0,1,0
57903,7236071,Batteries & Accessories,Car Accessories,Mid-Atlantic,Reseller,65,Loss,2,11,11,1000,1,1,0,Unknown,0.0,1.0,0.0,1,2,0,2
57904,7236113,Batteries & Accessories,Car Accessories,Mid-Atlantic,Fields Sales,65,Loss,2,10,10,65001,1,1,0,Known,1.0,0.0,0.0,4,0,0,0
57908,7236168,Batteries & Accessories,Car Accessories,Mid-Atlantic,Fields Sales,45,Won,4,10,10,60000,1,5,0,Unknown,0.048544,0.0,0.951456,4,0,1,2
57911,7238622,Batteries & Accessories,Car Accessories,Mid-Atlantic,Reseller,41,Loss,3,34,34,30000,3,2,0,Unknown,0.0,0.002907,0.997093,3,2,0,2
57924,7239005,Batteries & Accessories,Car Accessories,Mid-Atlantic,Reseller,28,Loss,2,47,47,50000,1,3,0,Unknown,0.0,1.0,0.0,4,2,0,2
57994,7242740,Batteries & Accessories,Car Accessories,Mid-Atlantic,Reseller,65,Loss,2,10,10,50000,1,1,0,Unknown,0.0,1.0,0.0,4,2,0,2
58005,7243117,Batteries & Accessories,Car Accessories,Mid-Atlantic,Fields Sales,75,Loss,2,0,0,25000,3,2,0,Unknown,0.0,1.0,0.0,3,0,0,2
58021,7243394,Batteries & Accessories,Car Accessories,Mid-Atlantic,Fields Sales,61,Loss,4,4,4,60000,4,5,0,Known,0.0,1.0,0.0,4,0,0,0
58027,7243448,Batteries & Accessories,Car Accessories,Mid-Atlantic,Reseller,67,Loss,3,8,8,3000,2,5,0,Unknown,0.173333,0.826667,0.0,1,2,0,2
58153,7257960,Batteries & Accessories,Car Accessories,Mid-Atlantic,Reseller,58,Won,3,16,16,15000,1,4,2,Unknown,0.0,0.00625,0.99375,2,2,1,2
58181,7258545,Batteries & Accessories,Car Accessories,Mid-Atlantic,Fields Sales,57,Loss,3,17,17,30000,1,1,0,Unknown,1.0,0.0,0.0,3,0,0,2
58275,7266477,Batteries & Accessories,Car Accessories,Mid-Atlantic,Fields Sales,72,Loss,2,2,2,140000,1,3,2,None,0.0,1.0,0.0,5,0,0,1
58342,7270201,Batteries & Accessories,Car Accessories,Mid-Atlantic,Fields Sales,49,Loss,2,0,0,0,3,5,0,Unknown,0.0,0.0,0.0,1,0,0,2
58428,7278832,Batteries & Accessories,Car Accessories,Mid-Atlantic,Reseller,73,Won,2,0,0,5024,1,1,0,Unknown,0.0,1.0,0.0,1,2,1,2
58441,7281375,Batteries & Accessories,Car Accessories,Mid-Atlantic,Reseller,73,Won,2,0,0,1780,1,1,0,Unknown,0.0,1.0,0.0,1,2,1,2
58443,7281382,Batteries & Accessories,Car Accessories,Mid-Atlantic,Reseller,73,Won,2,0,0,3000,1,1,0,Unknown,0.0,1.0,0.0,1,2,1,2
58457,7281710,Batteries & Accessories,Car Accessories,Mid-Atlantic,Fields Sales,66,Loss,2,8,8,100000,3,5,0,Unknown,1.0,0.0,0.0,5,0,0,2
58472,7281935,Batteries & Accessories,Car Accessories,Mid-Atlantic,Fields Sales,18,Won,4,56,56,21000,1,1,0,Unknown,0.186715,0.348294,0.464991,2,0,1,2
58500,7285329,Batteries & Accessories,Car Accessories,Mid-Atlantic,Fields Sales,58,Loss,2,16,16,105000,1,1,0,Known,0.0,1.0,0.0,5,0,0,0
58551,7289143,Batteries & Accessories,Car Accessories,Mid-Atlantic,Fields Sales,45,Won,4,9,0,8500,1,5,0,Unknown,0.0,0.0,0.010989,1,0,1,2
58593,7293670,Batteries & Accessories,Car Accessories,Mid-Atlantic,Other,65,Loss,3,8,8,130000,1,5,0,Known,0.922078,0.077922,0.0,5,1,0,0
58594,7293684,Batteries & Accessories,Car Accessories,Mid-Atlantic,Fields Sales,62,Loss,6,10,10,150000,1,1,0,Known,0.038462,0.019231,0.942308,5,0,0,0
58608,7295916,Batteries & Accessories,Car Accessories,Mid-Atlantic,Reseller,70,Won,3,3,3,32270,3,3,0,Unknown,0.0,0.178571,0.8214290000000001,3,2,1,2
58617,7296332,Batteries & Accessories,Car Accessories,Mid-Atlantic,Fields Sales,56,Loss,2,17,17,105000,4,4,0,Unknown,0.0,1.0,0.0,5,0,0,2
58650,7298923,Batteries & Accessories,Car Accessories,Mid-Atlantic,Fields Sales,64,Loss,2,9,9,110000,3,4,2,Unknown,1.0,0.0,0.0,5,0,0,2
58796,7309628,Batteries & Accessories,Car Accessories,Mid-Atlantic,Fields Sales,53,Won,6,14,14,40000,1,2,3,Known,0.446809,0.148936,0.390071,3,0,1,0
58844,7313445,Batteries & Accessories,Car Accessories,Mid-Atlantic,Fields Sales,58,Loss,4,14,14,60000,1,1,0,Known,0.0,0.093525,0.906475,4,0,0,0
58846,7313474,Batteries & Accessories,Car Accessories,Mid-Atlantic,Reseller,16,Loss,5,56,56,80000,1,1,0,Known,0.0,0.346499,0.653501,4,2,0,0
58873,7315834,Batteries & Accessories,Car Accessories,Mid-Atlantic,Reseller,64,Won,2,8,8,150000,1,1,0,Unknown,1.0,0.0,0.0,5,2,1,2
58888,7316292,Batteries & Accessories,Car Accessories,Mid-Atlantic,Fields Sales,72,Loss,1,0,0,0,3,4,4,Unknown,0.0,0.0,0.0,1,0,0,2
58902,7316571,Batteries & Accessories,Car Accessories,Mid-Atlantic,Reseller,47,Loss,6,26,26,30000,3,1,0,Unknown,0.335938,0.417969,0.246094,3,2,0,2
58904,7316653,Batteries & Accessories,Car Accessories,Mid-Atlantic,Fields Sales,45,Won,4,9,9,80000,5,4,1,Unknown,0.0,0.755556,0.244444,4,0,1,2
58919,7319563,Batteries & Accessories,Car Accessories,Mid-Atlantic,Fields Sales,16,Loss,3,55,55,110000,1,4,0,Unknown,0.142599,0.857401,0.0,5,0,0,2
58924,7319779,Batteries & Accessories,Car Accessories,Mid-Atlantic,Fields Sales,58,Won,6,7,6,186000,1,1,1,Unknown,0.030769,0.107692,0.784615,5,0,1,2
58928,7319825,Batteries & Accessories,Car Accessories,Mid-Atlantic,Fields Sales,28,Loss,4,25,25,110000,1,1,0,Unknown,0.613546,0.386454,0.0,5,0,0,2
58933,7322036,Batteries & Accessories,Car Accessories,Mid-Atlantic,Reseller,65,Loss,2,7,7,10000,1,1,0,Unknown,0.0,1.0,0.0,2,2,0,2
58947,7322299,Batteries & Accessories,Car Accessories,Mid-Atlantic,Reseller,54,Loss,2,18,18,32256,5,4,0,Unknown,0.0,1.0,0.0,3,2,0,2
58954,7322361,Batteries & Accessories,Car Accessories,Mid-Atlantic,Fields Sales,58,Loss,2,14,14,200000,1,5,0,Unknown,0.0,1.0,0.0,5,0,0,2
58998,7326392,Batteries & Accessories,Car Accessories,Mid-Atlantic,Reseller,55,Loss,3,16,16,50000,1,1,0,Unknown,0.558282,0.4417180000000001,0.0,4,2,0,2
59004,7326599,Batteries & Accessories,Car Accessories,Mid-Atlantic,Fields Sales,65,Loss,2,7,7,100001,5,1,0,Known,0.0,1.0,0.0,5,0,0,0
59065,7330505,Batteries & Accessories,Car Accessories,Mid-Atlantic,Fields Sales,45,Won,3,16,16,70000,1,1,2,Unknown,0.0,0.0,1.0,4,0,1,2
59185,7339448,Batteries & Accessories,Car Accessories,Mid-Atlantic,Fields Sales,40,Loss,3,31,31,200000,1,5,4,Known,0.203822,0.7961779999999999,0.0,5,0,0,0
59210,7339731,Batteries & Accessories,Car Accessories,Mid-Atlantic,Other,44,Loss,2,27,27,100000,5,5,0,Unknown,0.0,1.0,0.0,5,1,0,2
59229,7343424,Batteries & Accessories,Car Accessories,Mid-Atlantic,Reseller,64,Won,2,7,7,12000,3,2,0,Unknown,0.0,1.0,0.0,2,2,1,2
59261,7346623,Batteries & Accessories,Car Accessories,Mid-Atlantic,Reseller,16,Loss,3,54,54,100000,5,1,0,Unknown,0.0,1.0,0.0,5,2,0,2
59307,7349652,Batteries & Accessories,Car Accessories,Mid-Atlantic,Reseller,65,Loss,2,6,6,6200,2,1,0,Unknown,0.0,1.0,0.0,1,2,0,2
59405,7357257,Batteries & Accessories,Car Accessories,Mid-Atlantic,Other,36,Loss,3,34,34,101000,2,1,2,Known,0.002924,0.997076,0.0,5,1,0,0
59429,7361420,Batteries & Accessories,Car Accessories,Mid-Atlantic,Fields Sales,36,Loss,3,35,35,60000,1,1,0,Unknown,0.507246,0.492754,0.0,4,0,0,2
59441,7361729,Batteries & Accessories,Car Accessories,Mid-Atlantic,Fields Sales,41,Loss,3,30,30,60000,1,1,0,Known,0.122034,0.877966,0.0,4,0,0,0
59495,7368121,Batteries & Accessories,Car Accessories,Mid-Atlantic,Reseller,65,Loss,2,5,5,42000,5,5,0,Known,0.0,0.0,1.0,3,2,0,0
59504,7370528,Batteries & Accessories,Car Accessories,Mid-Atlantic,Reseller,54,Loss,2,16,16,50000,1,1,0,Unknown,0.0,1.0,0.0,4,2,0,2
59523,7371340,Batteries & Accessories,Car Accessories,Mid-Atlantic,Reseller,27,Loss,10,33,33,50000,2,3,0,Unknown,0.015106,0.984894,0.0,4,2,0,2
59535,7373655,Batteries & Accessories,Car Accessories,Mid-Atlantic,Reseller,44,Loss,3,26,26,90000,1,1,0,Unknown,0.353846,0.646154,0.0,4,2,0,2
59611,7381035,Batteries & Accessories,Car Accessories,Mid-Atlantic,Reseller,52,Loss,3,18,18,60000,1,1,0,Unknown,0.0,0.948571,0.051429,4,2,0,2
59656,7387145,Batteries & Accessories,Car Accessories,Mid-Atlantic,Reseller,44,Loss,3,25,25,20000,1,1,0,Unknown,0.0,0.7440939999999999,0.255906,2,2,0,2
59742,7409274,Batteries & Accessories,Car Accessories,Mid-Atlantic,Reseller,62,Won,3,6,6,3432,1,1,0,Unknown,0.0,0.016128999999999998,0.983871,1,2,1,2
59805,7420747,Batteries & Accessories,Car Accessories,Mid-Atlantic,Reseller,62,Loss,2,5,5,30000,1,1,0,Unknown,0.0,1.0,0.0,3,2,0,2
59806,7420753,Batteries & Accessories,Car Accessories,Mid-Atlantic,Reseller,57,Loss,2,10,10,40000,1,1,0,Unknown,0.0,1.0,0.0,3,2,0,2
59807,7420754,Batteries & Accessories,Car Accessories,Mid-Atlantic,Reseller,62,Loss,2,5,5,10000,1,1,0,Unknown,0.0,1.0,0.0,2,2,0,2
59808,7420768,Batteries & Accessories,Car Accessories,Mid-Atlantic,Reseller,62,Loss,2,5,5,40000,1,1,0,Unknown,0.0,1.0,0.0,3,2,0,2
59858,7425171,Batteries & Accessories,Car Accessories,Mid-Atlantic,Fields Sales,65,Loss,3,2,2,200000,1,1,0,Known,0.0,0.8260870000000001,0.173913,5,0,0,0
59874,7425581,Batteries & Accessories,Car Accessories,Mid-Atlantic,Reseller,65,Loss,2,3,3,60000,4,5,0,Unknown,0.0,1.0,0.0,4,2,0,2
59881,7425736,Batteries & Accessories,Car Accessories,Mid-Atlantic,Fields Sales,26,Won,6,27,18,220000,1,5,4,Known,0.12406,0.368421,0.169173,5,0,1,0
59964,7435169,Batteries & Accessories,Car Accessories,Mid-Atlantic,Fields Sales,63,Loss,2,4,4,110000,3,4,0,None,0.0,1.0,0.0,5,0,0,1
59970,7435275,Batteries & Accessories,Car Accessories,Mid-Atlantic,Fields Sales,64,Loss,2,3,3,60000,1,5,0,Known,0.0,0.0,1.0,4,0,0,0
60021,7438124,Batteries & Accessories,Car Accessories,Mid-Atlantic,Fields Sales,60,Loss,3,2,2,150000,5,5,3,Known,0.0,1.0,0.0,5,0,0,0
60069,7441622,Batteries & Accessories,Car Accessories,Mid-Atlantic,Reseller,42,Loss,5,22,22,0,2,1,0,Unknown,0.023041,0.976959,0.0,1,2,0,2
60164,7448444,Batteries & Accessories,Car Accessories,Mid-Atlantic,Fields Sales,17,Loss,3,49,49,105000,2,1,3,Known,0.0,0.46856,0.5314399999999999,5,0,0,0
60233,7454894,Batteries & Accessories,Car Accessories,Mid-Atlantic,Fields Sales,54,Loss,3,12,12,120000,1,1,0,Unknown,1.0,0.0,0.0,5,0,0,2
60246,7455057,Batteries & Accessories,Car Accessories,Mid-Atlantic,Fields Sales,23,Loss,4,43,43,130000,1,1,4,Known,0.10514,0.761682,0.133178,5,0,0,0
60267,7455720,Batteries & Accessories,Car Accessories,Mid-Atlantic,Reseller,61,Loss,3,5,5,30000,1,1,0,Unknown,0.0,0.019608,0.980392,3,2,0,2
60270,7458546,Batteries & Accessories,Car Accessories,Mid-Atlantic,Reseller,63,Won,3,3,3,158240,2,2,1,Unknown,0.0,0.034483,0.965517,5,2,1,2
60300,7459393,Batteries & Accessories,Car Accessories,Mid-Atlantic,Fields Sales,56,Loss,3,10,10,50000,1,1,0,Unknown,0.416667,0.583333,0.0,4,0,0,2
60301,7459394,Batteries & Accessories,Car Accessories,Mid-Atlantic,Fields Sales,56,Loss,3,10,10,200000,1,5,0,Known,0.02,0.98,0.0,5,0,0,0
60350,7463125,Batteries & Accessories,Car Accessories,Mid-Atlantic,Reseller,18,Loss,6,35,35,300000,3,4,4,Known,0.0,0.8304600000000001,0.16954,6,2,0,0
60351,7463233,Batteries & Accessories,Car Accessories,Mid-Atlantic,Fields Sales,63,Loss,2,3,3,150000,1,1,0,Known,0.0,1.0,0.0,5,0,0,0
60419,7466957,Batteries & Accessories,Car Accessories,Mid-Atlantic,Fields Sales,55,Loss,4,5,5,180000,1,1,0,Unknown,0.234043,0.0,0.765957,5,0,0,2
60455,7470206,Batteries & Accessories,Car Accessories,Mid-Atlantic,Fields Sales,45,Won,3,2,2,44000,1,1,3,Unknown,0.0,0.0,1.0,3,0,1,2
60469,7470585,Batteries & Accessories,Car Accessories,Mid-Atlantic,Fields Sales,60,Loss,2,6,6,200000,3,4,0,Known,0.0,1.0,0.0,5,0,0,0
60481,7473338,Batteries & Accessories,Car Accessories,Mid-Atlantic,Reseller,48,Loss,3,18,18,68000,1,1,0,Unknown,0.0,0.005682,0.994318,4,2,0,2
60484,7473417,Batteries & Accessories,Car Accessories,Mid-Atlantic,Reseller,60,Won,3,5,0,20000,1,1,0,None,0.0,0.019608,0.0,2,2,1,1
60505,7474104,Batteries & Accessories,Car Accessories,Mid-Atlantic,Fields Sales,44,Loss,2,22,22,130000,4,5,0,None,0.0,1.0,0.0,5,0,0,1
60532,7477791,Batteries & Accessories,Car Accessories,Mid-Atlantic,Reseller,65,Won,2,1,1,15000,1,1,0,Known,0.0,1.0,0.0,2,2,1,0
60558,7478454,Batteries & Accessories,Car Accessories,Mid-Atlantic,Fields Sales,54,Won,4,11,11,110000,1,1,0,Known,0.127273,0.172727,0.7,5,0,1,0
60561,7478537,Batteries & Accessories,Car Accessories,Mid-Atlantic,Fields Sales,44,Loss,3,22,22,20000,2,1,0,Unknown,0.230415,0.7695850000000001,0.0,2,0,0,2
60618,7484790,Batteries & Accessories,Car Accessories,Mid-Atlantic,Reseller,54,Loss,3,12,12,10000,1,1,0,Known,0.655172,0.344828,0.0,2,2,0,0
60677,7488990,Batteries & Accessories,Car Accessories,Mid-Atlantic,Reseller,46,Loss,3,19,19,10000,1,1,0,Unknown,0.386243,0.613757,0.0,2,2,0,2
60690,7489351,Batteries & Accessories,Car Accessories,Mid-Atlantic,Reseller,21,Loss,5,42,42,55000,2,2,0,Unknown,0.0,0.149644,0.850356,4,2,0,2
60743,7493755,Batteries & Accessories,Car Accessories,Mid-Atlantic,Reseller,46,Loss,3,19,19,10000,1,1,0,Unknown,0.382979,0.617021,0.0,2,2,0,2
60753,7493974,Batteries & Accessories,Car Accessories,Mid-Atlantic,Fields Sales,60,Loss,3,5,5,150000,1,1,4,Known,0.0,0.4,0.6,5,0,0,0
60865,7503384,Batteries & Accessories,Car Accessories,Mid-Atlantic,Reseller,56,Loss,4,7,7,70000,2,1,3,Unknown,0.720588,0.0,0.279412,4,2,0,2
60877,7503622,Batteries & Accessories,Car Accessories,Mid-Atlantic,Fields Sales,63,Loss,2,2,2,110000,1,4,4,Known,0.0,1.0,0.0,5,0,0,0
